,q,context,distance,target
10,"Understand the virtual banking landscape of South Korea. The number of virtual banks in South Korea. As of now, two virtual banks are well known, Kakao bank and K bank. What is the growth of these two banks? How many customers these bank have? Are these banks earning profits? FSC measures on virtual banks in South Korea. What is Toss? why is it getting a virtual banking license? ","18064 South Korean Won to US Dollar, convert 18064 KRW in USD.",0.5806451612903225,invalid
11,"Understand the virtual banking landscape of South Korea. The number of virtual banks in South Korea. As of now, two virtual banks are well known, Kakao bank and K bank. What is the growth of these two banks? How many customers these bank have? Are these banks earning profits? FSC measures on virtual banks in South Korea. What is Toss? why is it getting a virtual banking license? ",© 20142020 CurrencyRate.Today,0.30000000000000004,valid
12,"Understand the virtual banking landscape of South Korea. The number of virtual banks in South Korea. As of now, two virtual banks are well known, Kakao bank and K bank. What is the growth of these two banks? How many customers these bank have? Are these banks earning profits? FSC measures on virtual banks in South Korea. What is Toss? why is it getting a virtual banking license? ",or,0.0,valid
13,"Understand the virtual banking landscape of South Korea. The number of virtual banks in South Korea. As of now, two virtual banks are well known, Kakao bank and K bank. What is the growth of these two banks? How many customers these bank have? Are these banks earning profits? FSC measures on virtual banks in South Korea. What is Toss? why is it getting a virtual banking license? ","EN | ??
",0.25,valid
14,"Understand the virtual banking landscape of South Korea. The number of virtual banks in South Korea. As of now, two virtual banks are well known, Kakao bank and K bank. What is the growth of these two banks? How many customers these bank have? Are these banks earning profits? FSC measures on virtual banks in South Korea. What is Toss? why is it getting a virtual banking license? ","EN | IND
",0.2222222222222222,valid
15,"Understand the virtual banking landscape of South Korea. The number of virtual banks in South Korea. As of now, two virtual banks are well known, Kakao bank and K bank. What is the growth of these two banks? How many customers these bank have? Are these banks earning profits? FSC measures on virtual banks in South Korea. What is Toss? why is it getting a virtual banking license? ",Learn how the World Bank Group is helping countries with COVID-19 (coronavirus). Find Out ,0.6111111111111112,invalid
16,"Understand the virtual banking landscape of South Korea. The number of virtual banks in South Korea. As of now, two virtual banks are well known, Kakao bank and K bank. What is the growth of these two banks? How many customers these bank have? Are these banks earning profits? FSC measures on virtual banks in South Korea. What is Toss? why is it getting a virtual banking license? ",Browse byCountryorIndicator,0.33333333333333337,valid
17,"Understand the virtual banking landscape of South Korea. The number of virtual banks in South Korea. As of now, two virtual banks are well known, Kakao bank and K bank. What is the growth of these two banks? How many customers these bank have? Are these banks earning profits? FSC measures on virtual banks in South Korea. What is Toss? why is it getting a virtual banking license? ",1960 - 2018,0.2727272727272727,valid
18,"Understand the virtual banking landscape of South Korea. The number of virtual banks in South Korea. As of now, two virtual banks are well known, Kakao bank and K bank. What is the growth of these two banks? How many customers these bank have? Are these banks earning profits? FSC measures on virtual banks in South Korea. What is Toss? why is it getting a virtual banking license? ",CSVXMLEXCEL,0.36363636363636365,valid
19,"Understand the virtual banking landscape of South Korea. The number of virtual banks in South Korea. As of now, two virtual banks are well known, Kakao bank and K bank. What is the growth of these two banks? How many customers these bank have? Are these banks earning profits? FSC measures on virtual banks in South Korea. What is Toss? why is it getting a virtual banking license? ",Online tool for visualization and analysis,0.5952380952380952,invalid
20,"Understand the virtual banking landscape of South Korea. The number of virtual banks in South Korea. As of now, two virtual banks are well known, Kakao bank and K bank. What is the growth of these two banks? How many customers these bank have? Are these banks earning profits? FSC measures on virtual banks in South Korea. What is Toss? why is it getting a virtual banking license? ",Thematic data tables from WDI,0.3448275862068966,valid
21,"Understand the virtual banking landscape of South Korea. The number of virtual banks in South Korea. As of now, two virtual banks are well known, Kakao bank and K bank. What is the growth of these two banks? How many customers these bank have? Are these banks earning profits? FSC measures on virtual banks in South Korea. What is Toss? why is it getting a virtual banking license? ",One of the biggest merits of Kakao Bank is its price competitiveness.(Image:Kakao Bank),0.7011494252873562,invalid
22,"Understand the virtual banking landscape of South Korea. The number of virtual banks in South Korea. As of now, two virtual banks are well known, Kakao bank and K bank. What is the growth of these two banks? How many customers these bank have? Are these banks earning profits? FSC measures on virtual banks in South Korea. What is Toss? why is it getting a virtual banking license? ","SEOUL, Aug. 25 (Korea Bizwire)  Only one month after the launch of Kakao Bank, the groundbreaking financial institution still enjoys great popularity, having already attracted some 3 million account holders.
",0.799043062200957,invalid
23,"Understand the virtual banking landscape of South Korea. The number of virtual banks in South Korea. As of now, two virtual banks are well known, Kakao bank and K bank. What is the growth of these two banks? How many customers these bank have? Are these banks earning profits? FSC measures on virtual banks in South Korea. What is Toss? why is it getting a virtual banking license? ","Pre-existing banks that had already entered the mobile financial space and K-Bank, the first internet bank in Korea, havent been able to draw as much attention as Kakao Bank.  ",0.8192090395480226,invalid
24,"Understand the virtual banking landscape of South Korea. The number of virtual banks in South Korea. As of now, two virtual banks are well known, Kakao bank and K bank. What is the growth of these two banks? How many customers these bank have? Are these banks earning profits? FSC measures on virtual banks in South Korea. What is Toss? why is it getting a virtual banking license? ","What is it that is making consumers so enthusiastic about Kakao Bank? Replies on SNS and on internet investment boards show the banks appeal lies in its cheap prices, modern interface, and convenience. ",0.8374384236453202,invalid
25,"Understand the virtual banking landscape of South Korea. The number of virtual banks in South Korea. As of now, two virtual banks are well known, Kakao bank and K bank. What is the growth of these two banks? How many customers these bank have? Are these banks earning profits? FSC measures on virtual banks in South Korea. What is Toss? why is it getting a virtual banking license? ","One of the biggest merits of Kakao Bank is its price competitiveness. Its overseas wire transfer fee is 10 percent of that charged by traditional banks. It also boasts low lending interest rates compared with those of other off-line banks, with its lowest credit loan rate coming in at 2.86 percent.",0.8862876254180602,invalid
26,"Understand the virtual banking landscape of South Korea. The number of virtual banks in South Korea. As of now, two virtual banks are well known, Kakao bank and K bank. What is the growth of these two banks? How many customers these bank have? Are these banks earning profits? FSC measures on virtual banks in South Korea. What is Toss? why is it getting a virtual banking license? ","The price edge comes from the low costs inherent to internet banks, which benefit from low operating expenses due to a lack of physical branches and face-to-face interaction with clients.   ",0.8526315789473684,invalid
27,"Understand the virtual banking landscape of South Korea. The number of virtual banks in South Korea. As of now, two virtual banks are well known, Kakao bank and K bank. What is the growth of these two banks? How many customers these bank have? Are these banks earning profits? FSC measures on virtual banks in South Korea. What is Toss? why is it getting a virtual banking license? ","The banks success can be, in one aspect, attributed to the use of Kakao friend characters that are very familiar and are even gaining a fandom among the public.    ",0.8303030303030303,invalid
28,"Understand the virtual banking landscape of South Korea. The number of virtual banks in South Korea. As of now, two virtual banks are well known, Kakao bank and K bank. What is the growth of these two banks? How many customers these bank have? Are these banks earning profits? FSC measures on virtual banks in South Korea. What is Toss? why is it getting a virtual banking license? ","Using emoticons from Kakao Talk, Koreas number one mobile communication platform, in a strategy to deviate itself from the rigid image of conventional banks, Kakao Bank succeeded in crafting an idealistic image of a mobile-based internet bank.  
 
Park Seong Eun, a new Kakao Bank account holder, said that the main reason she opened an account was the design of the banks check cards. She has purchased many Kakao friends products out of sheer love for them, and didnt hesitate to join the bank once discovering that check cards featuring the characters would be issued.",0.9355400696864111,invalid
29,"Understand the virtual banking landscape of South Korea. The number of virtual banks in South Korea. As of now, two virtual banks are well known, Kakao bank and K bank. What is the growth of these two banks? How many customers these bank have? Are these banks earning profits? FSC measures on virtual banks in South Korea. What is Toss? why is it getting a virtual banking license? ","For other individuals, the main reason for using Kakao Bank has to do with ease of use.  From the simple act of opening an account, the focus on user-friendly service was apparent, said another new account holder.",0.863849765258216,invalid
30,"Understand the virtual banking landscape of South Korea. The number of virtual banks in South Korea. As of now, two virtual banks are well known, Kakao bank and K bank. What is the growth of these two banks? How many customers these bank have? Are these banks earning profits? FSC measures on virtual banks in South Korea. What is Toss? why is it getting a virtual banking license? ","While opening an account with a conventional bank requires numerous steps including remembering new account numbers, opening a current bank account, and processing a one-time pass word device (OTP) in sequence, the process of opening a Kakao Bank account has been simplified into entering a verification code on a bank transfer memo with 1 won transferred to the new account.     ",0.9052631578947369,invalid
31,"Understand the virtual banking landscape of South Korea. The number of virtual banks in South Korea. As of now, two virtual banks are well known, Kakao bank and K bank. What is the growth of these two banks? How many customers these bank have? Are these banks earning profits? FSC measures on virtual banks in South Korea. What is Toss? why is it getting a virtual banking license? ","When it comes to making a remittance, traditional banks online services require a financial authentication certificate and OTP, but with Kakao Bank, a fingerprint certification procedure and pressing a transfer button are all that is needed.",0.8677685950413223,invalid
32,"Understand the virtual banking landscape of South Korea. The number of virtual banks in South Korea. As of now, two virtual banks are well known, Kakao bank and K bank. What is the growth of these two banks? How many customers these bank have? Are these banks earning profits? FSC measures on virtual banks in South Korea. What is Toss? why is it getting a virtual banking license? "," The mobile applications from traditional banks have many menus and buttons to press, but Kakao Bank is without such complicated formalities, leading straight to remittance, praised another new account holder.  ",0.8544600938967136,invalid
33,"Understand the virtual banking landscape of South Korea. The number of virtual banks in South Korea. As of now, two virtual banks are well known, Kakao bank and K bank. What is the growth of these two banks? How many customers these bank have? Are these banks earning profits? FSC measures on virtual banks in South Korea. What is Toss? why is it getting a virtual banking license? ","Kakao Bank put significant efforts into improving the user interface (UI) of the mobile application before its launch, so that users are able to find significant differences in small details of the user-friendly application functions and check card designs in contrast to other banks, said Kakao Bank representative Yoon Ho-young.  ",0.8975903614457832,invalid
34,"Understand the virtual banking landscape of South Korea. The number of virtual banks in South Korea. As of now, two virtual banks are well known, Kakao bank and K bank. What is the growth of these two banks? How many customers these bank have? Are these banks earning profits? FSC measures on virtual banks in South Korea. What is Toss? why is it getting a virtual banking license? ",J.A. Kang (jakang@koreabizwire.com),0.37142857142857144,valid
35,"Understand the virtual banking landscape of South Korea. The number of virtual banks in South Korea. As of now, two virtual banks are well known, Kakao bank and K bank. What is the growth of these two banks? How many customers these bank have? Are these banks earning profits? FSC measures on virtual banks in South Korea. What is Toss? why is it getting a virtual banking license? ",Your email address will not be published. Required fields are marked *,0.6571428571428571,invalid
36,"Understand the virtual banking landscape of South Korea. The number of virtual banks in South Korea. As of now, two virtual banks are well known, Kakao bank and K bank. What is the growth of these two banks? How many customers these bank have? Are these banks earning profits? FSC measures on virtual banks in South Korea. What is Toss? why is it getting a virtual banking license? ",Name * ,0.1428571428571429,valid
37,"Understand the virtual banking landscape of South Korea. The number of virtual banks in South Korea. As of now, two virtual banks are well known, Kakao bank and K bank. What is the growth of these two banks? How many customers these bank have? Are these banks earning profits? FSC measures on virtual banks in South Korea. What is Toss? why is it getting a virtual banking license? ",Email * ,0.125,valid
38,"Understand the virtual banking landscape of South Korea. The number of virtual banks in South Korea. As of now, two virtual banks are well known, Kakao bank and K bank. What is the growth of these two banks? How many customers these bank have? Are these banks earning profits? FSC measures on virtual banks in South Korea. What is Toss? why is it getting a virtual banking license? ",Website,0.1428571428571429,valid
39,"Understand the virtual banking landscape of South Korea. The number of virtual banks in South Korea. As of now, two virtual banks are well known, Kakao bank and K bank. What is the growth of these two banks? How many customers these bank have? Are these banks earning profits? FSC measures on virtual banks in South Korea. What is Toss? why is it getting a virtual banking license? ",Comment,0.1428571428571429,valid
40,"Understand the virtual banking landscape of South Korea. The number of virtual banks in South Korea. As of now, two virtual banks are well known, Kakao bank and K bank. What is the growth of these two banks? How many customers these bank have? Are these banks earning profits? FSC measures on virtual banks in South Korea. What is Toss? why is it getting a virtual banking license? ","You may use these HTML tags and attributes:  &lt;a href="""" title=""""&gt; &lt;abbr title=""""&gt; &lt;acronym title=""""&gt; &lt;b&gt; &lt;blockquote cite=""""&gt; &lt;cite&gt; &lt;code&gt; &lt;del datetime=""""&gt; &lt;em&gt; &lt;i&gt; &lt;q cite=""""&gt; &lt;strike&gt; &lt;strong&gt; ",0.8872727272727272,invalid
41,"Understand the virtual banking landscape of South Korea. The number of virtual banks in South Korea. As of now, two virtual banks are well known, Kakao bank and K bank. What is the growth of these two banks? How many customers these bank have? Are these banks earning profits? FSC measures on virtual banks in South Korea. What is Toss? why is it getting a virtual banking license? ","



",0.75,invalid
42,"Understand the virtual banking landscape of South Korea. The number of virtual banks in South Korea. As of now, two virtual banks are well known, Kakao bank and K bank. What is the growth of these two banks? How many customers these bank have? Are these banks earning profits? FSC measures on virtual banks in South Korea. What is Toss? why is it getting a virtual banking license? ",,0.0,valid
43,"Understand the virtual banking landscape of South Korea. The number of virtual banks in South Korea. As of now, two virtual banks are well known, Kakao bank and K bank. What is the growth of these two banks? How many customers these bank have? Are these banks earning profits? FSC measures on virtual banks in South Korea. What is Toss? why is it getting a virtual banking license? ","Currently you have JavaScript disabled. In order to post comments, please make sure JavaScript and Cookies are enabled, and reload the page. Click here for instructions on how to enable JavaScript in your browser.",0.863849765258216,invalid
44,"Understand the virtual banking landscape of South Korea. The number of virtual banks in South Korea. As of now, two virtual banks are well known, Kakao bank and K bank. What is the growth of these two banks? How many customers these bank have? Are these banks earning profits? FSC measures on virtual banks in South Korea. What is Toss? why is it getting a virtual banking license? ","Korea Bizwire is committed to reporting on ""uniquely Korean"" stories for our readers. But we also provide enhanced coverage of useful information from all over the world if we find them of interest or relevance to our global audience. ",0.8808510638297873,invalid
45,"Understand the virtual banking landscape of South Korea. The number of virtual banks in South Korea. As of now, two virtual banks are well known, Kakao bank and K bank. What is the growth of these two banks? How many customers these bank have? Are these banks earning profits? FSC measures on virtual banks in South Korea. What is Toss? why is it getting a virtual banking license? ","Kobiz Media, the parent company of this site, offers highly competent press release distribution and localization services aimed at South Korea -- increasingly important and attractive market for global businesses who want to have an upper hand in Asia Pacific region since Korea serves as a stepping-stone for forward-looking brands' future success in this lucrative markets. We wish you all good luck for extraordinary success in your businesses and life.",0.9234135667396062,invalid
46,"Understand the virtual banking landscape of South Korea. The number of virtual banks in South Korea. As of now, two virtual banks are well known, Kakao bank and K bank. What is the growth of these two banks? How many customers these bank have? Are these banks earning profits? FSC measures on virtual banks in South Korea. What is Toss? why is it getting a virtual banking license? ",Username: ,0.09999999999999998,valid
47,"Understand the virtual banking landscape of South Korea. The number of virtual banks in South Korea. As of now, two virtual banks are well known, Kakao bank and K bank. What is the growth of these two banks? How many customers these bank have? Are these banks earning profits? FSC measures on virtual banks in South Korea. What is Toss? why is it getting a virtual banking license? ",Password: ,0.09999999999999998,valid
48,"Understand the virtual banking landscape of South Korea. The number of virtual banks in South Korea. As of now, two virtual banks are well known, Kakao bank and K bank. What is the growth of these two banks? How many customers these bank have? Are these banks earning profits? FSC measures on virtual banks in South Korea. What is Toss? why is it getting a virtual banking license? ","
Lost your password? 



",0.43999999999999995,valid
49,"Understand the virtual banking landscape of South Korea. The number of virtual banks in South Korea. As of now, two virtual banks are well known, Kakao bank and K bank. What is the growth of these two banks? How many customers these bank have? Are these banks earning profits? FSC measures on virtual banks in South Korea. What is Toss? why is it getting a virtual banking license? ",Username: ,0.09999999999999998,valid
50,"Understand the virtual banking landscape of South Korea. The number of virtual banks in South Korea. As of now, two virtual banks are well known, Kakao bank and K bank. What is the growth of these two banks? How many customers these bank have? Are these banks earning profits? FSC measures on virtual banks in South Korea. What is Toss? why is it getting a virtual banking license? ",Email: ,0.0,valid
51,"Understand the virtual banking landscape of South Korea. The number of virtual banks in South Korea. As of now, two virtual banks are well known, Kakao bank and K bank. What is the growth of these two banks? How many customers these bank have? Are these banks earning profits? FSC measures on virtual banks in South Korea. What is Toss? why is it getting a virtual banking license? ",Password: ,0.09999999999999998,valid
52,"Understand the virtual banking landscape of South Korea. The number of virtual banks in South Korea. As of now, two virtual banks are well known, Kakao bank and K bank. What is the growth of these two banks? How many customers these bank have? Are these banks earning profits? FSC measures on virtual banks in South Korea. What is Toss? why is it getting a virtual banking license? ",Re-enter: ,0.19999999999999996,valid
53,"Understand the virtual banking landscape of South Korea. The number of virtual banks in South Korea. As of now, two virtual banks are well known, Kakao bank and K bank. What is the growth of these two banks? How many customers these bank have? Are these banks earning profits? FSC measures on virtual banks in South Korea. What is Toss? why is it getting a virtual banking license? ",,0.0,valid
54,"Understand the virtual banking landscape of South Korea. The number of virtual banks in South Korea. As of now, two virtual banks are well known, Kakao bank and K bank. What is the growth of these two banks? How many customers these bank have? Are these banks earning profits? FSC measures on virtual banks in South Korea. What is Toss? why is it getting a virtual banking license? ",Please enter your username or e-mail address. You will receive a new password via e-mail.,0.752808988764045,invalid
55,"Understand the virtual banking landscape of South Korea. The number of virtual banks in South Korea. As of now, two virtual banks are well known, Kakao bank and K bank. What is the growth of these two banks? How many customers these bank have? Are these banks earning profits? FSC measures on virtual banks in South Korea. What is Toss? why is it getting a virtual banking license? ",Username/Email: ,0.1875,valid
56,"Understand the virtual banking landscape of South Korea. The number of virtual banks in South Korea. As of now, two virtual banks are well known, Kakao bank and K bank. What is the growth of these two banks? How many customers these bank have? Are these banks earning profits? FSC measures on virtual banks in South Korea. What is Toss? why is it getting a virtual banking license? ",,0.0,valid
57,"Understand the virtual banking landscape of South Korea. The number of virtual banks in South Korea. As of now, two virtual banks are well known, Kakao bank and K bank. What is the growth of these two banks? How many customers these bank have? Are these banks earning profits? FSC measures on virtual banks in South Korea. What is Toss? why is it getting a virtual banking license? ",5G explained: Huaweis bet begins with fintech,0.5,invalid
58,"Understand the virtual banking landscape of South Korea. The number of virtual banks in South Korea. As of now, two virtual banks are well known, Kakao bank and K bank. What is the growth of these two banks? How many customers these bank have? Are these banks earning profits? FSC measures on virtual banks in South Korea. What is Toss? why is it getting a virtual banking license? ","Federated AI, as explained by WeBanks Yang Qiang",0.4897959183673469,invalid
59,"Understand the virtual banking landscape of South Korea. The number of virtual banks in South Korea. As of now, two virtual banks are well known, Kakao bank and K bank. What is the growth of these two banks? How many customers these bank have? Are these banks earning profits? FSC measures on virtual banks in South Korea. What is Toss? why is it getting a virtual banking license? ",Cybersecuritys new mantra: keep it isolated,0.5,invalid
60,"Understand the virtual banking landscape of South Korea. The number of virtual banks in South Korea. As of now, two virtual banks are well known, Kakao bank and K bank. What is the growth of these two banks? How many customers these bank have? Are these banks earning profits? FSC measures on virtual banks in South Korea. What is Toss? why is it getting a virtual banking license? ",QR codes and the control of mobile money,0.525,invalid
61,"Understand the virtual banking landscape of South Korea. The number of virtual banks in South Korea. As of now, two virtual banks are well known, Kakao bank and K bank. What is the growth of these two banks? How many customers these bank have? Are these banks earning profits? FSC measures on virtual banks in South Korea. What is Toss? why is it getting a virtual banking license? ",NLP for efficiency: explained by Kornelia Papp,0.5652173913043479,invalid
62,"Understand the virtual banking landscape of South Korea. The number of virtual banks in South Korea. As of now, two virtual banks are well known, Kakao bank and K bank. What is the growth of these two banks? How many customers these bank have? Are these banks earning profits? FSC measures on virtual banks in South Korea. What is Toss? why is it getting a virtual banking license? ",Proof of stake: explained by Arpana Krishnan,0.5,invalid
63,"Understand the virtual banking landscape of South Korea. The number of virtual banks in South Korea. As of now, two virtual banks are well known, Kakao bank and K bank. What is the growth of these two banks? How many customers these bank have? Are these banks earning profits? FSC measures on virtual banks in South Korea. What is Toss? why is it getting a virtual banking license? ",Natural language processing: explained by Carl Hoffman,0.5555555555555556,invalid
64,"Understand the virtual banking landscape of South Korea. The number of virtual banks in South Korea. As of now, two virtual banks are well known, Kakao bank and K bank. What is the growth of these two banks? How many customers these bank have? Are these banks earning profits? FSC measures on virtual banks in South Korea. What is Toss? why is it getting a virtual banking license? ",Privacy on blockchain: as explained by Howard Wu,0.5,invalid
65,"Understand the virtual banking landscape of South Korea. The number of virtual banks in South Korea. As of now, two virtual banks are well known, Kakao bank and K bank. What is the growth of these two banks? How many customers these bank have? Are these banks earning profits? FSC measures on virtual banks in South Korea. What is Toss? why is it getting a virtual banking license? ",Artificial intelligence: as explained by Eberhard Schoneburg,0.6,invalid
66,"Understand the virtual banking landscape of South Korea. The number of virtual banks in South Korea. As of now, two virtual banks are well known, Kakao bank and K bank. What is the growth of these two banks? How many customers these bank have? Are these banks earning profits? FSC measures on virtual banks in South Korea. What is Toss? why is it getting a virtual banking license? ",DevOps: explained by CyberArks Jeffrey Kok,0.41860465116279066,valid
67,"Understand the virtual banking landscape of South Korea. The number of virtual banks in South Korea. As of now, two virtual banks are well known, Kakao bank and K bank. What is the growth of these two banks? How many customers these bank have? Are these banks earning profits? FSC measures on virtual banks in South Korea. What is Toss? why is it getting a virtual banking license? ","A Credit Suisse report highlights activity in fintech by internet companies, startups and banks.",0.71875,invalid
68,"Understand the virtual banking landscape of South Korea. The number of virtual banks in South Korea. As of now, two virtual banks are well known, Kakao bank and K bank. What is the growth of these two banks? How many customers these bank have? Are these banks earning profits? FSC measures on virtual banks in South Korea. What is Toss? why is it getting a virtual banking license? ",Published,0.0,valid
69,"Understand the virtual banking landscape of South Korea. The number of virtual banks in South Korea. As of now, two virtual banks are well known, Kakao bank and K bank. What is the growth of these two banks? How many customers these bank have? Are these banks earning profits? FSC measures on virtual banks in South Korea. What is Toss? why is it getting a virtual banking license? ",on,0.0,valid
70,"Understand the virtual banking landscape of South Korea. The number of virtual banks in South Korea. As of now, two virtual banks are well known, Kakao bank and K bank. What is the growth of these two banks? How many customers these bank have? Are these banks earning profits? FSC measures on virtual banks in South Korea. What is Toss? why is it getting a virtual banking license? ",By,0.0,valid
71,"Understand the virtual banking landscape of South Korea. The number of virtual banks in South Korea. As of now, two virtual banks are well known, Kakao bank and K bank. What is the growth of these two banks? How many customers these bank have? Are these banks earning profits? FSC measures on virtual banks in South Korea. What is Toss? why is it getting a virtual banking license? ","Customer demand, regulatory support and advancing technology are fuelling a boom in fintech in Korea, according to an equity research report by Credit Suisse.",0.8291139240506329,invalid
72,"Understand the virtual banking landscape of South Korea. The number of virtual banks in South Korea. As of now, two virtual banks are well known, Kakao bank and K bank. What is the growth of these two banks? How many customers these bank have? Are these banks earning profits? FSC measures on virtual banks in South Korea. What is Toss? why is it getting a virtual banking license? ","Fintech is part of a broader trend in tech startups and unicorns (startups valued at $1 billion or more), of which there are now eight in Korea, according to the August 29 report, written by lead analyst Park Jeehoon.",0.8341013824884793,invalid
73,"Understand the virtual banking landscape of South Korea. The number of virtual banks in South Korea. As of now, two virtual banks are well known, Kakao bank and K bank. What is the growth of these two banks? How many customers these bank have? Are these banks earning profits? FSC measures on virtual banks in South Korea. What is Toss? why is it getting a virtual banking license? ","Biotech and retail services are the hottest areas winning the most investment. But fintech investment is also thriving, especially in payments, crowdfunding, and virtual banking.",0.8539325842696629,invalid
74,"Understand the virtual banking landscape of South Korea. The number of virtual banks in South Korea. As of now, two virtual banks are well known, Kakao bank and K bank. What is the growth of these two banks? How many customers these bank have? Are these banks earning profits? FSC measures on virtual banks in South Korea. What is Toss? why is it getting a virtual banking license? ","Today there are more than 9 million daily users of mobile banking services in Korea, about double the number from 2013. Even more striking: 90% of banking transactions in Korea are today made online.",0.8341708542713568,invalid
75,"Understand the virtual banking landscape of South Korea. The number of virtual banks in South Korea. As of now, two virtual banks are well known, Kakao bank and K bank. What is the growth of these two banks? How many customers these bank have? Are these banks earning profits? FSC measures on virtual banks in South Korea. What is Toss? why is it getting a virtual banking license? ",This helps explain the ongoing flood of money going into the countrys startup scene.,0.7294117647058824,invalid
76,"Understand the virtual banking landscape of South Korea. The number of virtual banks in South Korea. As of now, two virtual banks are well known, Kakao bank and K bank. What is the growth of these two banks? How many customers these bank have? Are these banks earning profits? FSC measures on virtual banks in South Korea. What is Toss? why is it getting a virtual banking license? ","The Korea Venture Capital Association says startups received W3.4 trillion of investments in 2018 and are on track to receive W4 trillion this year. In the first half of 2019, 826 startups received investment, up 16.3% year on year (there are now over 300 fintech startups in Korea). Funding for startups is also shifting from mainly early stage to also include growth-phase companies.",0.8857142857142857,invalid
